time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased,a
63,14.0,0.5,0.4250000119209289,0.1375000029802322,0.762891232142857,0.0142237513950892,0.0131025450613839,0.0033117918178013,0.0101337933872767,0.0007847716064452,0.0002486571371895,0.0014140807756696,0.0012077608642577,0.004878362095424,0
64,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7549507767857142,0.0142431314174107,0.0132154302455357,0.0033222777971539,0.0102248345424107,0.0007918219255719,0.0002538781825473,0.0014424644077845,0.0012415865478515,0.0050949082031249,0
65,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7470395892857143,0.0142311563895089,0.0133010347377232,0.0033254682965959,0.0102946400669642,0.000797227783203,0.000258729649135,0.0014686459263392,0.0012760907679965,0.0053155924944196,0
66,14.0,0.5,0.4250000119209289,0.1375000029802322,0.739174875,0.0141880206473214,0.0133587374441964,0.0033213580496651,0.0103426866629464,0.0008009485386439,0.0002631808515275,0.0014924549560546,0.0013112213832309,0.0055400688476562,0
67,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7313734375000001,0.0141141570870535,0.0133881470424107,0.0033099995117187,0.0103686316964285,0.0008029577113559,0.0002672034301757,0.0015137351074218,0.0013469225725446,0.0057679656808035,0
68,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7236515178571429,0.0140103027343749,0.0133891075613839,0.0032915107421874,0.0103723194754464,0.0008032432861327,0.0002707716936383,0.0015323465750557,0.0013831351318359,0.0059988879045758,0
69,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7160244910714286,0.0138774448939732,0.0133617101004464,0.0032660724748883,0.0103537848772321,0.0008018079833983,0.0002738630240303,0.0015481679513113,0.0014197961774553,0.0062324220842633,0
70,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7085069910714286,0.0137167652064732,0.0133062765066964,0.0032339199916294,0.0103132536272321,0.0007986693202426,0.0002764581255231,0.001561097970145,0.0014568402622767,0.0064681374162946,0
71,14.0,0.5,0.4250000119209289,0.1375000029802322,0.7032074583333333,0.0135866165364583,0.0132507343749999,0.0032072134602863,0.0102717766927083,0.0007954573160806,0.0002780168151855,0.0015686209309895,0.0014834883626301,0.0066375473632812,0
0,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9974240714285714,0.0009688643450055,0.0004704794311523,0.0001816921909876,0.0002545365796769,7.229925101143974e-05,4.9671081542968754e-05,4.309560666765485e-05,0.0004148872070312,2.7679089954921178e-05,0
1,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9969552678571428,0.0009184387555803,0.0005739282662527,0.0002066134033202,0.0003662506147111,6.503702545166016e-05,4.657562800816128e-05,5.669706671578543e-05,0.0004213650207519,3.529414994376046e-05,0
