time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased,a
0,0.0,0.5,0.4250000119209289,0.1375000029802322,0.9999036654135338,4.8089471271778654e-05,2.8091956780720616e-05,5.825867189623589e-06,2.270782088769426e-06,1.7585176175434686e-07,2.439521537599672e-06,2.4348915493208878e-06,3.2388993496215046e-06,1.605584081709956e-07,0
1,0.0,0.5,0.4250000119209289,0.1375000029802322,0.999876022777532,4.921208949245817e-05,3.23743399803255e-05,9.590059083839898e-06,9.334870922904652e-06,7.22902196883874e-07,2.152841860577014e-06,2.220812403450985e-06,3.5473097219555738e-06,5.109477153872558e-07,0
2,0.0,0.5,0.4250000119209289,0.1375000029802322,0.9998357566710896,5.957535939565999e-05,3.711415194804279e-05,1.1869044460660498e-05,1.6764372547660873e-05,1.2982506044104657e-06,1.9287831766071456e-06,2.2017777572422624e-06,3.821414743361881e-06,8.439119983770389e-07,1
3,0.0,0.4804908079760415,0.4250000119209289,0.1375000029802322,0.99978214838567,7.576792538561477e-05,4.387230629170871e-05,1.4841066073935485e-05,2.4402643434596806e-05,1.8897663082992824e-06,1.7597764427289665e-06,2.352323571471853e-06,4.069127218220309e-06,1.1870686888044498e-06,1
4,0.0,0.44800665974617,0.4250000119209289,0.1375000029802322,0.9997125902992776,9.74472745512446e-05,5.344443115252372e-05,1.8918970280405027e-05,3.30976418437955e-05,2.56311596450457e-06,1.641147505405746e-06,2.662681960328462e-06,4.297500687961503e-06,1.5651105727204598e-06,1
5,0.0,0.4177186403955732,0.4250000119209289,0.1375000029802322,0.9996228162317558,0.0001255278600697,6.652701725285612e-05,2.4307607813569e-05,4.368360728337387e-05,3.38290410109999e-06,1.5718901243495253e-06,3.1436126210706063e-06,4.513212384225766e-06,2.002848243882096e-06,1
6,0.0,0.3894782790115901,0.4250000119209289,0.1375000029802322,0.9995071502285124,0.0001617384219826,8.395721939449093e-05,3.129609636759206e-05,5.6969932973446366e-05,4.411811060949745e-06,1.5540419647023335e-06,3.822508734200145e-06,4.723013633650417e-06,2.5280197162675973e-06,1
7,0.0,0.370940910918372,0.4250000119209289,0.1375000029802322,0.999358184063099,0.0002083533904412,0.0001068497165261,4.0315014202124105e-05,7.386874379300446e-05,5.72047253968212e-06,1.5924397109620925e-06,4.741920511683549e-06,4.934117028833789e-06,3.1736581423597914e-06,1
8,0.0,0.3704091012477875,0.4250000119209289,0.1375000029802322,0.9991663718118826,0.0002683214730047,0.0001366539232044,5.192601573549856e-05,9.548966842081484e-05,7.39481933134839e-06,1.6949236718107074e-06,5.960894144163113e-06,5.15458373989694e-06,3.980467317028066e-06,0
9,0.0,0.3704091012477875,0.4250000119209289,0.1375000029802322,0.9989194677871148,0.0003454690714175,0.0001752622487111,6.686598147752625e-05,0.0001232257164211,9.542729252474017e-06,1.8728181322152048e-06,7.5579966905456925e-06,5.3937583129243945e-06,4.999526531563103e-06,1
10,0.0,0.3595337569713592,0.4250000119209289,0.1375000029802322,0.9986016327583666,0.0004447141431099,0.0002251300972048,8.608611741108861e-05,0.0001588536470174,1.2301793830260825e-05,2.1416916883081422e-06,9.636028351095528e-06,5.662783187310569e-06,6.295587291377284e-06,1
11,0.0,0.3352270594664982,0.4250000119209289,0.1375000029802322,0.9981926138876605,0.0005723833491558,0.0002894326769178,0.0001108115419918,0.000204650503229,1.584835058114143e-05,2.5224055791171834e-06,1.2328471122335654e-05,5.9752405946380924e-06,7.951217644618496e-06,1
12,0.0,0.312563636473247,0.4250000119209289,0.1375000029802322,0.9976663073123988,0.000736559794045,0.0003722619978038,0.0001426148311272,0.0002635386153587,2.040870910581544e-05,3.0424980116895778e-06,1.5807931549373707e-05,6.347949185343983e-06,1.00720551940837e-05,1
13,0.0,0.2914324062211172,0.4250000119209289,0.1375000029802322,0.9969893852277752,0.0009475562236098,0.0004788662509616,0.0001835025391992,0.000339262408808,2.6272836308659977e-05,3.737972739803287e-06,2.029700056388458e-05,6.801981253204278e-06,1.2793529284979308e-05,1
14,0.0,0.2755916970116751,0.4250000119209289,0.1375000029802322,0.9961190476190476,0.0012185953380118,0.0006159723218028,0.000236042684639,0.0004366137619726,3.38118262264944e-05,4.655576571240005e-06,2.608202664739313e-05,7.363946533090647e-06,1.6289438801354474e-05,1
15,0.0,0.2744058072566986,0.4250000119209289,0.1375000029802322,0.995000589709568,0.0015665244330667,0.0007921941263141,0.0003035188067825,0.0005617255247853,4.350061204323423e-05,5.855722341603557e-06,3.353076801527817e-05,8.067630164376863e-06,2.078289643301297e-05,0
16,0.0,0.2744058072566986,0.4250000119209289,0.1375000029802322,0.993564047987616,0.0020127165483791,0.0010185232026095,0.0003901053868298,0.0007224315186086,5.594585631847312e-05,7.416216757345671e-06,4.311484452564949e-05,8.956069811315254e-06,2.6560303245025912e-05,1
17,0.0,0.2686320415564945,0.4250000119209289,0.1375000029802322,0.99172052373581,0.0025842779700284,0.0013089604288466,0.000501107050679,0.00092871583255,7.192073542513223e-05,9.436966025616662e-06,5.543804210880488e-05,1.0084198478328676e-05,3.3989145255591446e-05,1
18,0.0,0.2508381924458912,0.4250000119209289,0.1375000029802322,0.9893570967860827,0.0033152485346522,0.0016812575693311,0.0006432148684411,0.0011932643174456,9.240765960345664e-05,1.204589431517493e-05,7.127186908634753e-05,1.1522206623224175e-05,4.354064021334789e-05,1
19,0.0,0.2338799791676657,0.4250000119209289,0.1375000029802322,0.9863310758513932,0.0042482418491656,0.0021578324149355,0.000824836210183,0.0015321281216022,0.0001186496364002,1.5406290268311016e-05,9.15996220265374e-05,1.3359793902462817e-05,5.581840898687292e-05,1
20,0.0,0.218068248459271,0.4250000119209289,0.1375000029802322,0.9824630417956656,0.0054360585517101,0.0027668269507638,0.0010564523635317,0.0019655133820591,0.0001522114441736,1.972580349728296e-05,0.0001176703609267,1.571149430970219e-05,7.159438000374904e-05,1
21,0.0,0.2050477755921227,0.4250000119209289,0.1375000029802322,0.977529420978918,0.0069432901964239,0.0035432952066516,0.0013509934864159,0.0025186894453504,0.0001950499736926,2.526744002879729e-05,0.000151064627961,1.8723378047186705e-05,9.18540341583669e-05,1
22,0.0,0.2032848298549652,0.4250000119209289,0.1375000029802322,0.9712534461152884,0.0088478481647592,0.0045304761861569,0.0017242162052937,0.0032229778116015,0.0002495908044035,3.236254383184451e-05,0.0001937719764354,2.258135157139028e-05,0.0001178523281163,0
23,0.0,0.2032848298549652,0.4250000119209289,0.1375000029802322,0.963297554548135,0.0112414425885485,0.0057809803403268,0.0021949597684468,0.0041167529563222,0.0003188057153885,4.142574179265662e-05,0.0002482801637307,2.7521337570737076e-05,0.000151182320623,1
24,0.0,0.2004238430942807,0.4250000119209289,0.1375000029802322,0.9532562840925844,0.0142289331439812,0.007357686855581,0.0027852114632859,0.005246296606636,0.0004062787719168,5.297142218896707e-05,0.0003176725472774,3.384157754706015e-05,0.000193857972748,1
25,0.0,0.1876930828605379,0.4250000119209289,0.1375000029802322,0.940652992776058,0.017925032883219,0.0093339601876934,0.0035197725831697,0.0066662729750617,0.0005162432205354,6.76305659239436e-05,0.0004057274129069,4.1917194364767904e-05,0.000248412026393,1
26,0.0,0.1750038691929407,0.4250000119209289,0.1375000029802322,0.9249437748783724,0.022446722274436,0.0117925351061476,0.0044252145399689,0.0084394161241798,0.0006535572455235,8.61659038036987e-05,0.000517005786561,5.221693603299667e-05,0.0003180081866473,1
27,0.0,0.1631725260189601,0.4250000119209289,0.1375000029802322,0.905532784166298,0.027900190503833,0.0148222543951791,0.0055278087077758,0.0106348262372382,0.0008235720814846,0.0001094816405565,0.0006569050998791,6.532166514902116e-05,0.0004065645069705,1
28,0.0,0.1527811288833617,0.4250000119209289,0.1375000029802322,0.8818045942061035,0.0343596367412096,0.0185115592289547,0.0068499862218735,0.0133241149461429,0.0010318333568007,0.0001386222575031,0.000831644577033,8.194347653226588e-05,0.0005188801948359,1
29,0.0,0.1505971103906631,0.4250000119209289,0.1375000029802322,0.8531797047766475,0.0418377670969703,0.0229375564370484,0.00840497433554,0.016574437731507,0.001283541819277,0.000174752153444,0.0010481328569153,0.0001029434507792,0.0006607520963771,0
30,0.0,0.1505971103906631,0.4250000119209289,0.1375000029802322,0.8191953412944125,0.0502487958176691,0.0281498682943571,0.010189584715465,0.0204375984768907,0.0015827091064632,0.0002191058966889,0.0013136549258888,0.0001293449126283,0.0008390582564233,1
31,0.0,0.1493212069783891,0.4250000119209289,0.1375000029802322,0.7796102664750111,0.0593695998958793,0.03414933588567,0.0121756898277402,0.0249348411239495,0.0019309803331282,0.0002728976677533,0.001635310469274,0.0001623372692775,0.0010617758295237,1
32,0.0,0.1404438998017992,0.4250000119209289,0.1375000029802322,0.7345201054105852,0.0688098923780038,0.0408636976172047,0.0143020172501565,0.0300381171794375,0.0023261832847859,0.0003371806717649,0.0020191489681809,0.0002032644144468,0.0013378918487624,1
33,0.0,0.1309490225144794,0.4250000119209289,0.1375000029802322,0.6844577620521893,0.0780074554492849,0.0481249809956877,0.0164690504696944,0.0356505164565826,0.0027608131657267,0.0004126543587469,0.0024689910452256,0.0002535907284762,0.0016771585947289,1
34,0.0,0.1220960563846996,0.4250000119209289,0.1375000029802322,0.6304439315199765,0.0862652541279669,0.0556562667007592,0.0185406706679381,0.0415908463714432,0.0032208388186688,0.0004994313058539,0.0029850145239016,0.0003148380523055,0.0020896509354152,1
35,0.0,0.1140001959034374,0.4250000119209289,0.1375000029802322,0.5739529706619491,0.0928389689757481,0.0630766967971398,0.0203557232926064,0.0475892741965206,0.0036853636345574,0.0005967965478234,0.003562309093045,0.0003884903712204,0.0025851032538837,1
36,0.0,0.1115650832653045,0.4250000119209289,0.1375000029802322,0.5167769515701017,0.0970647574819401,0.0699312734962405,0.0217501128740969,0.0533006798936679,0.0041276607116942,0.0007030117299797,0.0041897258440793,0.0004758684466796,0.0031720438432362,0
37,0.0,0.1115650832653045,0.4250000119209289,0.1375000029802322,0.4608065798687896,0.0984956290081821,0.0757453122696446,0.0225857607023071,0.0583389010209346,0.0045178251090731,0.0008152296653138,0.0048494239389834,0.0005779838803839,0.0038567996277457,1
38,0.0,0.1110909070287431,0.4250000119209289,0.1375000029802322,0.4077788036267137,0.097001310721657,0.0800940713456434,0.0227786809625165,0.0623285379118752,0.0048267863477627,0.0009295800698465,0.005517477056612,0.0006953956618625,0.0046425280947082,1
