time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased
32,0.0,0.1404438998017992,0.4250000119209289,0.1375000029802322,0.7345201054105852,0.0688098923780038,0.04086369761720474,0.014302017250156573,0.030038117179437513,0.0023261832847859,0.00033718067176495716,0.0020191489681809717,0.00020326441444685713,0.0013378918487624858
33,0.0,0.13094902251447946,0.4250000119209289,0.1375000029802322,0.6844577620521893,0.07800745544928496,0.0481249809956877,0.0164690504696944,0.035650516456582605,0.0027608131657267713,0.0004126543587469286,0.0024689910452256286,0.00025359072847627143,0.0016771585947289714
34,0.0,0.12209605638469964,0.4250000119209289,0.1375000029802322,0.6304439315199765,0.08626525412796694,0.0556562667007592,0.018540670667938186,0.04159084637144326,0.0032208388186688573,0.0004994313058539286,0.002985014523901614,0.0003148380523055714,0.0020896509354152285
35,0.0,0.11400019590343743,0.4250000119209289,0.1375000029802322,0.5739529706619491,0.09283896897574814,0.06307669679713986,0.020355723292606487,0.047589274196520655,0.0036853636345574145,0.0005967965478234429,0.0035623090930450713,0.0003884903712204,0.0025851032538837288
36,0.0,0.1115650832653045,0.4250000119209289,0.1375000029802322,0.5167769515701017,0.0970647574819401,0.06993127349624055,0.021750112874096974,0.05330067989366794,0.0041276607116942,0.0007030117299797715,0.004189725844079343,0.0004758684466796,0.003172043843236257
37,0.0,0.1115650832653045,0.4250000119209289,0.1375000029802322,0.46080657986878965,0.09849562900818218,0.07574531226964465,0.02258576070230717,0.05833890102093464,0.004517825109073186,0.0008152296653138571,0.004849423938983443,0.0005779838803839286,0.003856799627745757
38,0.0,0.11109090702874314,0.4250000119209289,0.1375000029802322,0.40777880362671376,0.09700131072165706,0.08009407134564347,0.02277868096251654,0.062328537911875224,0.004826786347762729,0.0009295800698465572,0.005517477056612043,0.0006953956618625714,0.004642528094708243
39,0.0,0.10508905031851355,0.4250000119209289,0.1375000029802322,0.35906430137844614,0.09279474306169831,0.08266998378298683,0.0223167244282581,0.06496316849108061,0.005030815132385129,0.0010414419622700429,0.006165622221339157,0.0008280872163317857,0.005528399785078457
40,0.0,0.09798438102006911,0.4250000119209289,0.1375000029802322,0.3155443203597228,0.08637595942982453,0.08332920997346303,0.02126096232078354,0.06605494492204769,0.0051153636619120715,0.0011458812940266,0.006764009345514472,0.0009753931859030143,0.006509141074192801
41,0.0,0.09136003255844109,0.4250000119209289,0.1375000029802322,0.27759639447884416,0.07841679681741114,0.08210543246904022,0.0197305188522777,0.06556190625921418,0.005077182558878757,0.0012381741887749714,0.007284434374078529,0.0011359919970249,0.007575035863440714
42,0.0,0.0851835278528077,0.4250000119209289,0.1375000029802322,0.24516840815273475,0.06962817947902841,0.0791899152753206,0.017876780070580817,0.063586596316158,0.004924212602392857,0.0013143101607418857,0.0077034021462203,0.0013079690552207286,0.0087124135015848
43,0.0,0.08264944702386849,0.4250000119209289,0.1375000029802322,0.21789976089119856,0.06064959791482377,0.07488732746388024,0.015855684564121657,0.06034893702546804,0.004673484751630872,0.0013713778068792715,0.008004421454025643,0.001488940408091643,0.00990455026582997
44,0.0,0.08264944702386849,0.4250000119209289,0.1375000029802322,0.1952488620448179,0.05198212270105406,0.0695615751234704,0.0138054964790192,0.05614321246590736,0.0043477890642276,0.0014077720906413142,0.0081791661771616,0.001676216567527443,0.011132829200759229
45,0.0,0.0825319641402789,0.4250000119209289,0.1375000029802322,0.17660017000221137,0.04396639288939256,0.06358492393667989,0.0118337387586613,0.05129142767304286,0.003972061609388757,0.0014232097469949715,0.008227453183164672,0.0018669815119715142,0.012377995914648702
46,0.0,0.07863430785281311,0.4250000119209289,0.1375000029802322,0.16133962664012969,0.03679433821225854,0.05729897814388908,0.0100132519084936,0.04610302755970806,0.003570266500925986,0.0014185868580573143,0.008156234379031171,0.002058462609447514,0.013621324105299957
47,0.0,0.07331814297607961,0.4250000119209289,0.1375000029802322,0.14889989219371955,0.030538946170573445,0.050990627418730616,0.008384935440047658,0.04084668127119264,0.003163209753473714,0.0013957285936578002,0.00797796845917637,0.0022480727539782,0.014845581900523316
48,0.0,0.06836138452802383,0.4250000119209289,0.1375000029802322,0.1387819076643815,0.02518920606894067,0.04488182427576289,0.0069641264091985,0.03573525870051963,0.0027673760242171858,0.0013570952923726571,0.0077087387586613,0.002433517732750943,0.016035722924037984
49,0.0,0.06373973031129153,0.4250000119209289,0.1375000029802322,0.13056069286267133,0.020681938647169346,0.03912990541611378,0.005747995333001571,0.030922100172305712,0.0023946400928792143,0.0013054920878712714,0.0073664364697358575,0.002612859555828871,0.01717929704776643
50,0.0,0.0612282156944274,0.4250000119209289,0.1375000029802322,0.12388207075593392,0.0169268394446594,0.03383451620779887,0.004722337783797686,0.02650525498028153,0.002052594920060914,0.0012438178216392856,0.006969216541468514,0.0027845471401964856,0.01826660314619263
51,0.0,0.0612282156944274,0.4250000119209289,0.1375000029802322,0.11845492753022258,0.013824070170831442,0.029047817153177013,0.0038669571446999285,0.022536204942503257,0.0017452273261277713,0.0011748700508163285,0.006534318620540271,0.0029474149960148,0.01929063841819617
52,0.0,0.0612282156944274,0.4250000119209289,0.1375000029802322,0.11404207324377115,0.011275365429889014,0.02478549429640273,0.0031594913510222572,0.019030303239716873,0.0014737266282951714,0.001101209210555057,0.006077274413054642,0.003100658787363586,0.020246886172231988
53,0.0,0.058839187558208154,0.4250000119209289,0.1375000029802322,0.11045121420278635,0.009190260592312541,0.0210370178087682,0.002577868009868357,0.0159769767076238,0.0012372739314680857,0.001025078232619057,0.005611459067590814,0.0032437982594352857,0.021133029321926088
54,0.0,0.05486129543610976,0.4250000119209289,0.1375000029802322,0.1075268847670647,0.007488943665459542,0.017774389011361087,0.002101704366471043,0.013348621438707015,0.0010337312865112429,0.0009483660664614715,0.005147921000225729,0.003376631779356414,0.021948603125460674
55,0.0,0.05115233202065737,0.4250000119209289,0.1375000029802322,0.10514344224531916,0.006102992214566714,0.014959111070414957,0.0017129647166226,0.011107737173816856,0.0008601948849029286,0.0008726046288169429,0.004695413568387844,0.0034991881415394714,0.022694641878132773
56,0.0,0.047694118427378744,0.4250000119209289,0.1375000029802322,0.1031994024583517,0.004974873635720685,0.012547432459825971,0.0013961439890511572,0.009212279751538727,0.0007134085824913143,0.0007989885998601143,0.004260559954861814,0.0036116788769372282,0.023373342881560472
57,0.0,0.0454241016081401,0.4250000119209289,0.1375000029802322,0.10161266447368418,0.004056876631203429,0.010494102040487214,0.001138177393953,0.0076194113644635,0.0005900551549772429,0.0007284088787138715,0.003848099180050257,0.003714455385361343,0.023987764390295558
